horizon,target,source,share
1,d_log_mur,d_log_mur,1.0000000000000002
1,d_log_mur,d_log_ipai,0.0
1,d_log_mur,policy_rate_level,0.0
1,d_log_ipai,d_log_mur,0.04055200815244721
1,d_log_ipai,d_log_ipai,0.9594479918475528
1,d_log_ipai,policy_rate_level,0.0
1,policy_rate_level,d_log_mur,0.013308119296931735
1,policy_rate_level,d_log_ipai,0.04105849501833958
1,policy_rate_level,policy_rate_level,0.945633385684729
3,d_log_mur,d_log_mur,0.999973955973046
3,d_log_mur,d_log_ipai,4.6080412420276515e-06
3,d_log_mur,policy_rate_level,2.1435985712182366e-05
3,d_log_ipai,d_log_mur,0.04524407785090524
3,d_log_ipai,d_log_ipai,0.9542644999429059
3,d_log_ipai,policy_rate_level,0.0004914222061890043
3,policy_rate_level,d_log_mur,0.1142266143472636
3,policy_rate_level,d_log_ipai,0.019830488896896852
3,policy_rate_level,policy_rate_level,0.8659428967558397
6,d_log_mur,d_log_mur,0.9999623271615748
6,d_log_mur,d_log_ipai,7.450806888543216e-06
6,d_log_mur,policy_rate_level,3.0222031536837703e-05
6,d_log_ipai,d_log_mur,0.047136868874455576
6,d_log_ipai,d_log_ipai,0.9521266704380322
6,d_log_ipai,policy_rate_level,0.0007364606875124755
6,policy_rate_level,d_log_mur,0.11548739011763809
6,policy_rate_level,d_log_ipai,0.015514700886426652
6,policy_rate_level,policy_rate_level,0.8689979089959354
12,d_log_mur,d_log_mur,0.9999506694919876
12,d_log_mur,d_log_ipai,7.62426613978526e-06
12,d_log_mur,policy_rate_level,4.1706241872844734e-05
12,d_log_ipai,d_log_mur,0.04718356483092593
12,d_log_ipai,d_log_ipai,0.9517985064394949
12,d_log_ipai,policy_rate_level,0.0010179287295793752
12,policy_rate_level,d_log_mur,0.1229773397932333
12,policy_rate_level,d_log_ipai,0.012829912387102689
12,policy_rate_level,policy_rate_level,0.8641927478196643
