variable,coef,std_err_hac,t_stat,p_value,ci_lower,ci_upper,model,sub_sample
const,0.03758927199590122,0.061171035857466444,0.6144946128342068,0.5388885318767828,-0.08230375518174124,0.15748229917354367,sub_Jan 2022 – Dec 2024,Jan 2022 – Dec 2024
policy_rate_pct,0.013615431849668859,0.021236754289783704,0.641125836080271,0.5214409295183988,-0.028007841706833694,0.055238705406171415,sub_Jan 2022 – Dec 2024,Jan 2022 – Dec 2024
log_ipai_diff,-0.21111885781459883,0.687509763592539,-0.3070776140129422,0.7587842964880027,-1.5586132334756222,1.1363755178464245,sub_Jan 2022 – Dec 2024,Jan 2022 – Dec 2024
log_credit_hab_diff,-0.0012686488772466965,0.001066191904159999,-1.1898879294588187,0.23409044330080575,-0.0033583466100084755,0.0008210488555150824,sub_Jan 2022 – Dec 2024,Jan 2022 – Dec 2024
trend,-0.0012040772142186103,0.0009388968433245917,-1.2824382388538305,0.1996889574223315,-0.003044281212333156,0.0006361267838959355,sub_Jan 2022 – Dec 2024,Jan 2022 – Dec 2024
const,0.06630501006319713,0.017007917760146898,3.8984789906830106,9.679879737125846e-05,0.03297010380129006,0.09963991632510419,sub_Jan 2025 – Dec 2025,Jan 2025 – Dec 2025
policy_rate_pct,-0.016689748573464426,0.006149289570761239,-2.714093779681667,0.006645735003781907,-0.028742134662664225,-0.004637362484264629,sub_Jan 2025 – Dec 2025,Jan 2025 – Dec 2025
log_ipai_diff,0.0886680025861992,0.18462195233517018,0.4802679284055436,0.6310368907578571,-0.2731843747462048,0.4505203799186033,sub_Jan 2025 – Dec 2025,Jan 2025 – Dec 2025
log_credit_hab_diff,0.144901766963818,0.02927026858653044,4.950476164420942,7.40321243112994e-07,0.08753309471640423,0.20227043921123178,sub_Jan 2025 – Dec 2025,Jan 2025 – Dec 2025
trend,-0.0001949940290200368,0.00016377589258431254,-1.1906149674602018,0.23380477305785752,-0.0005159888800211899,0.00012600082198111634,sub_Jan 2025 – Dec 2025,Jan 2025 – Dec 2025
