date,file,metric,value_current_month_kDH,value_year_ago_kDH,monthly_var_pct,annual_var_pct
2023-05-01,INDICATEURS_DES_BANQUES_ET_FENETRES_PARTICIPATIVES_-_05_2023.pdf,Mourabaha_total,2341155825213,749,1.7,20.8
2023-05-01,INDICATEURS_DES_BANQUES_ET_FENETRES_PARTICIPATIVES_-_05_2023.pdf,Mourabaha_immobilière,1461046915651,993,1.0,20.5
2023-05-01,INDICATEURS_DES_BANQUES_ET_FENETRES_PARTICIPATIVES_-_05_2023.pdf,Mourabaha_automobile,11778441234,624,-0.5,2.7
2023-05-01,INDICATEURS_DES_BANQUES_ET_FENETRES_PARTICIPATIVES_-_05_2023.pdf,Mourabaha_équipement,16010191951,672,5.1,82.4
2023-05-01,INDICATEURS_DES_BANQUES_ET_FENETRES_PARTICIPATIVES_-_05_2023.pdf,Salam,104752145,70,-5.2,136.8
2023-05-01,INDICATEURS_DES_BANQUES_ET_FENETRES_PARTICIPATIVES_-_05_2023.pdf,Depot_à_vue,70150867303,492,1.0,26.3
2024-03-01,Indicateurs_des_banques_et_fenêtres_participatives_-_03_2024.pdf,Mourabaha_total,2808698429151,24,1.4,19.1
2024-03-01,Indicateurs_des_banques_et_fenêtres_participatives_-_03_2024.pdf,Mourabaha_immobilière,1734923917901,805,1.1,17.7
2024-03-01,Indicateurs_des_banques_et_fenêtres_participatives_-_03_2024.pdf,Mourabaha_automobile,13384781375,17,0.5,15.4
2024-03-01,Indicateurs_des_banques_et_fenêtres_participatives_-_03_2024.pdf,Mourabaha_équipement,26213402877,36,3.2,54.9
2024-03-01,Indicateurs_des_banques_et_fenêtres_participatives_-_03_2024.pdf,Salam,187705209,241,1.8,78.0
2024-03-01,Indicateurs_des_banques_et_fenêtres_participatives_-_03_2024.pdf,Depot_à_vue,90856509239,682,2.6,28.2
2025-06-01,Indicateurs_des_banques_et_fenêtres_participatives_-_06_2025.pdf,Mourabaha_total,3373880837678,446,2.4,23.0
2025-06-01,Indicateurs_des_banques_et_fenêtres_participatives_-_06_2025.pdf,Mourabaha_immobilière,2056132722653,85,1.9,20.5
2025-06-01,Indicateurs_des_banques_et_fenêtres_participatives_-_06_2025.pdf,Mourabaha_automobile,16214611881,73,3.2,30.0
2025-06-01,Indicateurs_des_banques_et_fenêtres_participatives_-_06_2025.pdf,Mourabaha_équipement,16729012310,647,9.7,75.9
2025-06-01,Indicateurs_des_banques_et_fenêtres_participatives_-_06_2025.pdf,Salam,254493461,827,12.0,95.0
2025-06-01,Indicateurs_des_banques_et_fenêtres_participatives_-_06_2025.pdf,Depot_à_vue,1211643212166,603,2.7,22.7
2025-07-01,Indicateurs_des_banques_et_fenêtres_participatives_-_07_2025.pdf,Mourabaha_total,3373880838333,428,1.7,23.7
2025-07-01,Indicateurs_des_banques_et_fenêtres_participatives_-_07_2025.pdf,Mourabaha_immobilière,2056132722875,723,1.0,20.3
2025-07-01,Indicateurs_des_banques_et_fenêtres_participatives_-_07_2025.pdf,Mourabaha_automobile,16214611953,800,3.9,32.4
2025-07-01,Indicateurs_des_banques_et_fenêtres_participatives_-_07_2025.pdf,Mourabaha_équipement,16729012428,947,5.1,86.7
2025-07-01,Indicateurs_des_banques_et_fenêtres_participatives_-_07_2025.pdf,Salam,254493463,817,0.4,65.0
2025-07-01,Indicateurs_des_banques_et_fenêtres_participatives_-_07_2025.pdf,Depot_à_vue,1211643212346,914,1.5,22.0
2025-09-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_09_2025.pdf,Mourabaha_total,3373880840262,629,1.7,26.3
2025-09-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_09_2025.pdf,Mourabaha_immobilière,2056132723737,127,1.7,21.3
2025-09-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_09_2025.pdf,Mourabaha_automobile,16214612055,12,1.9,35.2
2025-09-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_09_2025.pdf,Mourabaha_équipement,16729013121,762,2.2,117.9
2025-09-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_09_2025.pdf,Salam,254493464,31,-1.7,53.0
2025-09-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_09_2025.pdf,Depot_à_vue,1211643212898,759,0.5,25.3
2025-10-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_10_2025.pdf,Mourabaha_total,3373880841028,598,1.9,26.5
2025-10-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_10_2025.pdf,Mourabaha_immobilière,2056132724088,712,1.5,21.7
2025-10-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_10_2025.pdf,Mourabaha_automobile,16214612114,974,2.9,36.6
2025-10-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_10_2025.pdf,Mourabaha_équipement,16729013219,523,3.1,110.9
2025-10-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_10_2025.pdf,Salam,254493451,609,-2.7,54.0
2025-10-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_10_2025.pdf,Depot_à_vue,1211643212816,146,-0.6,19.9
2025-11-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_11_2025.pdf,Mourabaha_total,3373880841658,828,1.5,26.5
2025-11-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_11_2025.pdf,Mourabaha_immobilière,2056132724569,700,2.0,22.2
2025-11-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_11_2025.pdf,Mourabaha_automobile,16214612173,99,2.7,38.1
2025-11-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_11_2025.pdf,Mourabaha_équipement,16729013294,258,2.3,109.3
2025-11-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_11_2025.pdf,Salam,254493427,247,-5.4,49.0
2025-11-01,Indicateurs_des_banques_et_fenêtres_participatives_à_fin_-_11_2025.pdf,Depot_à_vue,1211643212833,660,0.1,19.1
2021-12-01,Indicateurs_publiables_12_2021.pdf,Mourabaha_12,7908717030,655,2.1,41.0
2021-12-01,Indicateurs_publiables_12_2021.pdf,Mourabaha_1,1332811365,159,-0.9,20.5
2021-12-01,Indicateurs_publiables_12_2021.pdf,Mourabaha_267,984860,916,13.9,221.3
2021-12-01,Indicateurs_publiables_12_2021.pdf,Mourabaha_8,55095212104,651,1.8,110.8
2021-12-01,Indicateurs_publiables_12_2021.pdf,Mourabaha_967,5571178,308,-1.1,21.8
2021-12-01,Indicateurs_publiables_12_2021.pdf,Mourabaha_231,250747,759,13.8,223.4
2021-12-01,Indicateurs_publiables_12_2021.pdf,Salam,130020,580,10.8,1483.0
2021-12-01,Indicateurs_publiables_12_2021.pdf,Depot_à_vue,38069115275,435,6.3,38.6
2024-05-01,Indicateurs_à_publier_-05_2024.pdf,Mourabaha_total,2808698430105,110,1.7,19.4
2024-05-01,Indicateurs_à_publier_-05_2024.pdf,Mourabaha_immobilière,1734923918494,657,2.3,18.2
2024-05-01,Indicateurs_à_publier_-05_2024.pdf,Mourabaha_automobile,13384781431,85,3.4,15.9
2024-05-01,Indicateurs_à_publier_-05_2024.pdf,Mourabaha_équipement,26213402974,850,1.5,52.4
2024-05-01,Indicateurs_à_publier_-05_2024.pdf,Salam,187705232,373,13.8,60.0
2024-05-01,Indicateurs_à_publier_-05_2024.pdf,Depot_à_vue,90856509635,786,1.3,31.9
2024-01-01,Indicateurs_à_publier_-_01_2024.pdf,Mourabaha_total,2808698428371,258,1.0,19.9
2024-01-01,Indicateurs_à_publier_-_01_2024.pdf,Mourabaha_immobilière,1734923917474,121,0.7,18.6
2024-01-01,Indicateurs_à_publier_-_01_2024.pdf,Mourabaha_automobile,13384781358,239,1.5,14.1
2024-01-01,Indicateurs_à_publier_-_01_2024.pdf,Mourabaha_équipement,26213402706,725,3.3,59.6
2024-01-01,Indicateurs_à_publier_-_01_2024.pdf,Salam,187705182,924,-2.5,76.0
2024-01-01,Indicateurs_à_publier_-_01_2024.pdf,Depot_à_vue,90856508993,993,-1.0,29.4
2024-02-01,Indicateurs_à_publier_-_02_2024.pdf,Mourabaha_total,2808698428761,965,1.4,19.7
2024-02-01,Indicateurs_à_publier_-_02_2024.pdf,Mourabaha_immobilière,1734923917703,415,1.3,18.8
2024-02-01,Indicateurs_à_publier_-_02_2024.pdf,Mourabaha_automobile,13384781367,847,0.7,13.6
2024-02-01,Indicateurs_à_publier_-_02_2024.pdf,Mourabaha_équipement,26213402787,358,3.0,55.5
2024-02-01,Indicateurs_à_publier_-_02_2024.pdf,Salam,187705205,457,12.3,98.0
2024-02-01,Indicateurs_à_publier_-_02_2024.pdf,Depot_à_vue,90856509005,340,0.1,29.9
2025-02-01,Indicateurs_à_publier_-_02_2025.pdf,Mourabaha_total,3373880834655,918,1.7,20.5
2025-02-01,Indicateurs_à_publier_-_02_2025.pdf,Mourabaha_immobilière,2056132721085,813,1.6,19.1
2025-02-01,Indicateurs_à_publier_-_02_2025.pdf,Mourabaha_automobile,16214611674,33,1.8,22.4
2025-02-01,Indicateurs_à_publier_-_02_2025.pdf,Mourabaha_équipement,16810011801,884,4.2,55.1
