date,Depot_investissement,Depot_vue,Mourabaha_automobile,Mourabaha_automobile_hors_marges,Mourabaha_dont,Mourabaha_equipement,Mourabaha_equipement_hors_marges,Mourabaha_hors,Mourabaha_hors_marges_total,Mourabaha_immobiliere,Mourabaha_immobiliere_hors_marges,Mourabaha_matieres_premieres,Mourabaha_matieres_premieres_hors_marges,Mourabaha_total,Salam
2019-07-01,216.0,2055618.0,475920.0,,,43.0,,,5058637.0,4560674.0,,,,7174906.0,
2019-08-01,66.0,2135573.0,532236.0,,,566.0,,,5258487.0,4701685.0,,,,7440867.0,
2019-09-01,300.0,2188169.0,575049.0,,,106.0,,,5584276.0,4983121.0,,,,7838303.0,
2019-10-01,308.0,2317610.0,617347.0,,,877.0,,,5906340.0,5261115.0,,,,8262660.0,
2019-12-01,124.0,2556647.0,813469.0,685860.0,,339.0,417.0,,,8185125.0,5742805.0,,,9100933.0,
2020-01-01,434711.0,2590384.0,885196.0,747941.0,,103726.0,90861.0,,,8450331.0,5936063.0,,,9439253.0,
2020-02-01,515316.0,2681567.0,915912.0,773485.0,,114661.0,100883.0,,,8665871.0,6097106.0,,,9696444.0,
2020-03-01,124547.0,2641495.0,941422.0,797221.0,,108057.0,94263.0,,,9037657.0,6363772.0,,,10087136.0,
2020-04-01,562867.0,2661127.0,788601.0,,,101145.0,,,7256245.0,6366499.0,,,,10073343.0,
2020-06-01,610332.0,2878399.0,790182.0,,,129489.0,,,7694320.0,6774648.0,,,,10661135.0,
2020-07-01,600469.0,3057128.0,830445.0,,,142420.0,,,7935751.0,6962885.0,,,,11034957.0,
2020-08-01,689337.0,3107334.0,889462.0,,,158889.0,,,8213244.0,7164894.0,,,,11315204.0,300.0
2020-09-01,688030.0,3214175.0,903787.0,,,184620.0,,,8562695.0,7474287.0,,,,11810055.0,300.0
2020-10-01,748188.0,3344145.0,927196.0,,,196368.0,,,8910482.0,7786919.0,,,,12293085.0,300.0
2020-11-01,787586.0,3449317.0,937773.0,,,235591.0,,,9305334.0,8131971.0,,,,12837464.0,300.0
2020-12-01,949574.0,3806911.0,967557.0,,,231250.0,,,9749760.0,8550952.0,,,,13480352.0,300.0
2021-01-01,1078639.0,3819801.0,992169.0,,,244704.0,,,10136328.0,8899456.0,,,,13851008.0,300.0
2021-02-01,1138958.0,3990162.0,1176722.0,1006277.0,,300938.0,262377.0,,10379394.0,12848685.0,9110739.0,,,14326344.0,1300.0
2021-03-01,1211563.0,4171832.0,1037201.0,,,279674.0,,,,9458235.0,,,,,1300.0
2021-04-01,1268802.0,4304981.0,1053442.0,,,308809.0,,11239941.0,,9877690.0,,,,,1300.0
2021-05-01,1376924.0,4406962.0,1070770.0,,,349837.0,,,,10150632.0,,,,,
2021-06-01,1523502.0,4432461.0,1079098.0,,,375041.0,,,,10784744.0,,,,,4080.0
2021-07-01,1514553.0,4445790.0,1137941.0,,,458361.0,,,,10950941.0,,,,,4080.0
2021-08-01,1551748.0,4581073.0,1145585.0,,,473367.0,,,,11122270.0,,,,,8580.0
2021-09-01,1668751.0,4704296.0,,,16062431.0,,,11416147.0,,,,,,,8580.0
2021-10-01,1694012.0,4916388.0,,,16418529.0,,,11701084.0,,,,,,,8580.0
2021-11-01,1748541.0,4963899.0,,,,,,,,,,,,,18580.0
2021-12-01,1721623.0,5275435.0,,,17030655.0,,,12104651.0,,,,,,,20580.0
