date,taux_directeur_pct,reserve_obligatoire_pct,remuneration_reserve_pct
2006-12-19,3.25,16.5,0.75
2007-03-27,3.25,16.5,0.75
2007-06-19,3.25,16.5,0.75
2007-09-25,3.25,16.5,0.75
2007-12-25,3.25,15.0,0.75
2008-03-25,3.25,15.0,0.75
2008-06-17,3.5,15.0,0.75
2008-09-23,3.5,15.0,0.75
2008-12-23,3.5,12.0,0.75
2009-03-24,3.25,12.0,0.75
2009-06-16,3.25,10.0,0.75
2009-10-01,3.25,8.0,0.75
2009-12-22,3.25,8.0,0.75
2010-03-30,3.25,6.0,0.75
2010-06-15,3.25,6.0,0.75
2010-09-21,3.25,6.0,0.75
2010-12-21,3.25,6.0,0.75
2011-03-29,3.25,6.0,0.75
2011-06-14,3.25,6.0,0.75
2011-09-20,3.25,6.0,0.75
2011-12-20,3.25,6.0,0.75
2012-03-27,3.0,6.0,0.75
2012-06-19,3.0,6.0,0.75
2012-09-25,3.0,4.0,0.75
2012-12-18,3.0,4.0,0.75
2013-03-26,3.0,4.0,0.75
2013-06-18,3.0,4.0,0.75
2013-09-24,3.0,4.0,0.75
2013-12-17,3.0,4.0,0.0
2014-03-25,3.0,2.0,0.0
2014-06-17,3.0,2.0,0.0
2014-09-23,2.75,2.0,0.0
2014-12-16,2.5,2.0,0.0
2015-03-24,2.5,2.0,0.0
2015-06-16,2.5,2.0,0.0
2015-09-22,2.5,2.0,0.0
2015-12-22,2.5,2.0,0.0
2016-03-22,2.25,2.0,0.0
2016-06-21,2.25,4.0,0.75
2016-09-27,2.25,4.0,0.75
2016-12-20,2.25,4.0,0.75
2017-03-21,2.25,4.0,0.75
2017-06-20,2.25,4.0,0.75
2017-09-26,2.25,4.0,0.75
2017-12-19,2.25,4.0,0.75
2018-03-20,2.25,4.0,0.75
2018-06-19,2.25,4.0,0.75
2018-09-25,2.25,4.0,0.75
2018-12-18,2.25,4.0,0.75
2019-03-19,2.25,4.0,0.75
2019-06-18,2.25,4.0,0.75
2019-09-24,2.25,2.0,0.0
2019-12-17,2.25,2.0,0.0
2020-03-17,2.0,2.0,0.0
2020-06-18,1.5,0.0,0.0
2020-09-22,1.5,0.0,0.0
2020-12-15,1.5,0.0,0.0
2021-03-23,1.5,0.0,0.0
2021-06-22,1.5,0.0,0.0
2021-12-21,1.5,0.0,0.0
2022-03-22,1.5,0.0,0.0
2022-06-21,1.5,0.0,0.0
2022-09-27,2.0,0.0,0.0
2022-12-22,2.5,0.0,0.0
2023-03-23,3.0,0.0,0.0
2023-06-22,3.0,0.0,0.0
2023-09-28,3.0,0.0,0.0
2023-12-21,3.0,0.0,0.0
2024-03-21,3.0,0.0,0.0
2024-06-27,2.75,0.0,0.0
2024-09-26,2.75,0.0,0.0
2024-12-19,2.5,0.0,0.0
2025-03-20,2.25,0.0,0.0
2025-06-26,2.25,0.0,0.0
2025-09-25,2.25,0.0,0.0
2025-12-18,2.25,0.0,0.0
2026-03-19,2.25,0.0,0.0
