date,credits_immobiliers_MDH,credits_habitat_MDH,credits_promoteurs_MDH,credits_equipement_MDH,credits_consommation_MDH,credits_treso_MDH,credits_divers_MDH,credits_souffrance_MDH,credits_bancaire_total_MDH,credits_habitat_financement_participatif_MDH,source,type,credits_habitat_MMDH,credits_consommation_MMDH,murabaha_habitat_MMDH,credits_menages_total_MMDH
2013-01-01,219487.0,151389.0,65548.0,137067.0,39680.0,178140.0,92566.0,35439.0,25.0,,DERI_SM_JANVIER2013.pdf,SM,,,,
2014-11-01,236534.0,169340.0,63828.0,145394.0,44067.0,31.0,100200.0,52101.0,28.0,,DERI_SM_NOVEMBRE_2014.pdf,SM,,,,
2021-12-01,,,,,,,,,,,Flash_crédits_dépôts_Décembre_2021.pdf,Flash,233100.0,,15900.0,366800.0
2022-10-01,298217.0,238012.0,6.0,175918.0,57718.0,32.0,142417.0,89407.0,29.0,14161211.0,DSGD_SM_octobre__2022.pdf,SM,,,,
2022-12-01,,,,,,,,,,,Flash_cre_dits_de_po_ts_De_c_2022_VF_.pdf,Flash,239000.0,,18900.0,
2023-12-01,,,,,,,,,,,DSGD_Flash_crédits_dépôts_déc_2023__.pdf,Flash,244000.0,,21600.0,443600.0
2024-03-01,,,,,,,,,,,DSGD-MSM_Mars_2024_DV.pdf,SM,,,,
2024-12-01,,,,,,,,,,,Flash_crédits_dépôts_Decmbre_2024.pdf,Flash,248100.0,,24900.0,453600.0
2025-12-01,,,,,,,,,,,Flash_crédits_dépôts_déc_2025.pdf,Flash,256200.0,61100.0,29700.0,395600.0
2026-04-01,,,,,,,,,,,DSGD_Flash_crédits_dépôts_AVRIL_2026.pdf,Flash,257700.0,61800.0,31000.0,399900.0
