date,Comptes débiteurs et crédits de trésorerie,Crédits immobiliers,Crédits à l'équipement,Crédits à la consommation,Entreprises non financières,Entreprises non financières privées,GE,Global,Particuliers,TPME
2021-10-01,,4.82,4.56,6.47,4.26,4.3,4.01,4.44,5.16,4.88
2022-01-01,,4.6,4.3,6.5,4.0,4.02,3.65,4.28,5.23,4.85
2022-04-01,,4.65,4.56,6.32,4.03,4.05,3.79,4.29,5.14,4.82
2022-07-01,,4.69,4.14,6.39,4.04,4.12,3.87,4.24,5.33,4.94
2022-10-01,,4.84,4.4,6.4,4.3,4.4,4.19,4.5,5.72,5.04
2023-01-01,,4.79,,6.95,4.98,5.03,4.79,5.03,5.63,5.48
2023-04-01,,4.98,4.74,7.27,5.22,5.27,5.01,5.26,5.93,5.77
2023-07-01,,5.21,5.11,7.25,5.32,5.36,5.05,5.36,5.94,5.75
2023-10-01,,5.14,4.91,7.18,5.3,5.42,5.25,5.36,5.94,5.7
2024-01-01,,5.05,5.13,7.22,5.26,5.38,5.16,5.4,6.09,5.85
2024-04-01,,5.3,5.02,7.03,5.37,5.45,5.34,5.43,5.89,5.68
2024-07-01,5.08,5.24,5.26,7.06,5.12,5.33,5.14,5.21,5.91,5.74
2024-10-01,5.0,5.02,4.99,6.99,5.0,5.26,5.08,5.08,5.79,5.7
2025-01-01,4.74,5.18,5.15,7.13,4.84,5.17,4.96,4.98,5.96,5.61
2025-04-01,4.65,5.13,4.83,6.88,4.72,4.91,4.67,4.84,5.77,5.43
2025-07-01,4.73,5.05,4.49,6.89,4.74,4.88,4.64,4.85,5.71,5.41
2025-10-01,4.58,5.19,4.95,6.89,4.72,4.94,4.74,4.82,5.69,5.22
2026-01-01,4.47,5.13,4.37,6.86,4.54,4.79,4.55,4.66,5.74,5.2
